date,summoner_name,rank,lp,season_points,wins,losses
23/03/26,FEAR Trixter,128,70,0,10,7
23/03/26,300 Raheen,129,70,0,11,8
23/03/26,TA Chookies,130,70,0,12,11
23/03/26,TSM Keaiduo,131,65,0,7,3
23/03/26,C9 Qit0ng,132,65,0,19,28
23/03/26,DARE Enigma,133,60,0,9,7
23/03/26,SN Saico,134,60,0,15,20
23/03/26,R7 Slow,135,60,0,18,25
23/03/26,WC Crazy Goose,136,60,0,28,44
23/03/26,EG Soligo,137,60,0,25,40
23/03/26,TA Dec0y,138,60,0,20,33
23/03/26,TSM Spica,139,55,0,8,5
23/03/26,CLG Solo,139,55,0,8,5
23/03/26,EG Danny,141,55,0,9,7
23/03/26,C9 k1ng,142,55,0,10,10
23/03/26,DIG Spawn,143,55,0,9,12
23/03/26,CLG Poome,144,55,0,23,35
23/03/26,AK Pancake,145,55,0,16,25
23/03/26,Pobelter,146,55,0,29,50
23/03/26,XTN Horus,147,50,0,8,6
23/03/26,BOG B3nji,148,50,0,9,8
23/03/26,AZE 5kid,149,50,0,12,14
23/03/26,BOG Inori,150,50,0,7,10
23/03/26,100X Keel,151,50,0,26,43
23/03/26,GET Warangelus,152,50,0,37,64
23/03/26,AGT Duoking1,153,45,0,6,3
23/03/26,JK Scoooped,153,45,0,6,3
23/03/26,WIN FrostForest,155,45,0,7,6
23/03/26,UCI Cinna,156,45,0,8,7
23/03/26,MU Shady,157,45,0,8,8
23/03/26,DIG FakeGod,158,45,0,10,11
23/03/26,XTN camilo,159,45,0,12,15
23/03/26,DIG eXyu,160,45,0,12,16
23/03/26,WU Kenji,161,45,0,16,25
23/03/26,Doublelift,162,45,0,19,30
23/03/26,WC Jeremy,163,45,0,17,28
23/03/26,Creamcheese,164,45,0,55,105
23/03/26,3P Dinka,165,40,0,4,0
23/03/26,TSM Huni,166,40,0,5,3
23/03/26,DIG Blue,167,40,0,7,6
23/03/26,DIG Gamsu,168,40,0,8,12
23/03/26,INF Kz,169,40,0,15,24
23/03/26,TSM Yursan,169,40,0,10,16
23/03/26,100X DARKWINGS,171,40,0,11,18
23/03/26,BAY Seranok,172,40,0,19,35
23/03/26,AOE Zamudo,173,40,0,8,16
23/03/26,WC Toasty,174,35,0,4,1
23/03/26,WC 0 n a t,175,35,0,4,3
23/03/26,100X Sniper,176,35,0,5,4
23/03/26,CLG Triple,177,35,0,7,8
23/03/26,GTC Vakin,178,35,0,8,10
23/03/26,UCI Misterdot,179,35,0,5,7
23/03/26,MU APA,180,35,0,8,12
23/03/26,EST Acce,181,35,0,39,76
23/03/26,R7 Daiky,182,35,0,9,18
23/03/26,TL Rhino,183,30,0,4,2
23/03/26,GG Violet,184,30,0,4,3
23/03/26,EG donbray,185,30,0,6,6
23/03/26,IMA shochi,185,30,0,6,6
23/03/26,RAD Lightpulse,187,30,0,11,19
23/03/26,AK Skeeto,188,30,0,13,23
23/03/26,100 BMFX,189,25,0,3,1
23/03/26,NOT Dragoon,190,25,0,4,3
23/03/26,GG Akaadian,191,25,0,5,6
23/03/26,NOT Jishuka,192,25,0,7,9
23/03/26,SN im baekho,193,25,0,8,11
23/03/26,UCI dtro18,194,25,0,13,22
23/03/26,C9 Trevor,195,25,0,8,14
23/03/26,WC Griffin,196,25,0,17,33
23/03/26,XTN Zerito,197,25,0,10,29
23/03/26,Qit0ng,198,20,0,2,0
23/03/26,EGP Faisal,199,20,0,3,2
23/03/26,TG Qwacker,200,20,0,2,2
23/03/26,BAY Bejjaniii,201,20,0,5,6
23/03/26,MUS Getback,202,20,0,4,6
23/03/26,INF Jauny,202,20,0,6,9
23/03/26,UCI sahori,204,20,0,3,5
23/03/26,BAY Dragonmin,205,20,0,5,9
23/03/26,DARE Censored,206,20,0,3,6
23/03/26,UCI Berik,207,15,0,2,1
23/03/26,Sneaky,208,15,0,2,2
23/03/26,DIG Eclipse,209,15,0,3,4
23/03/26,SN Firetheft,210,15,0,2,3
23/03/26,ISG FIare,210,15,0,2,3
23/03/26,Goldenglue,212,15,0,5,8
23/03/26,ISG seiya,213,15,0,3,5
23/03/26,NR Pynt,213,15,0,3,5
23/03/26,AZE Aloned,215,15,0,11,19
23/03/26,300 Perry,216,15,0,5,10
23/03/26,IMA animegirl,216,15,0,3,6
23/03/26,AK Zothve,218,15,0,27,59
23/03/26,CLG Meech,219,15,0,2,7
23/03/26,EGP Doxa,220,10,0,1,0
23/03/26,C9 Fudge,220,10,0,1,0
23/03/26,WC Rhino,220,10,0,1,0
23/03/26,AnDa,220,10,0,1,0
23/03/26,ISG Gavotto,224,10,0,2,2
23/03/26,RAD Bluster,224,10,0,1,1
23/03/26,BOG dshao,224,10,0,2,2
23/03/26,YU Wally,224,10,0,1,1
23/03/26,R7 Ceo,228,10,0,3,4
23/03/26,GET Plugo,229,10,0,2,3
23/03/26,3P Munchy,229,10,0,2,3
23/03/26,ISU DrewDozer,231,10,0,1,2
23/03/26,WC Onat,232,10,0,2,5
23/03/26,BOG Tuesday,233,10,0,1,3
23/03/26,CIyde,234,10,0,7,22
23/03/26,RAD Crimson,235,5,0,1,1
23/03/26,3P Lunar2,235,5,0,1,1
23/03/26,WIN Avano,237,5,0,3,7
23/03/26,EG SkyTec,238,5,0,15,37
23/03/26,DARE Blossoms,239,5,0,4,10
23/03/26,MUS Kind,240,0,0,3,6
23/03/26,BAY SophistSage,240,0,0,1,2
23/03/26,AZE Straight,240,0,0,4,8
23/03/26,WIN Vex,243,0,0,8,17
23/03/26,ISG Follow,244,0,0,3,7
23/03/26,MU Azog,245,0,0,9,22
23/03/26,BAY Braine,246,0,0,2,5
23/03/26,ISU Tempos,246,0,0,2,5
23/03/26,WIN Mordio,248,0,0,5,14
23/03/26,NOT Blazze,249,0,0,1,3
23/03/26,TFTS Leemo,249,0,0,3,9
23/03/26,DIG Biofrost,249,0,0,2,6
23/03/26,INF Brayaron,249,0,0,4,12
23/03/26,EGP LEO99,253,0,0,1,4
23/03/26,XTN Tyr,253,0,0,2,8
23/03/26,MU Aizo,253,0,0,1,4
23/03/26,ISU Yen,256,0,0,2,9
23/03/26,AOER Nemesis9,257,0,0,2,10
23/03/26,MU Odd Orange,258,0,0,2,12
23/03/26,EGP Daption,258,0,0,1,6
23/03/26,WC Rapid,260,0,0,1,8
23/03/26,GET Fs,261,0,0,1,9
23/03/26,INF SolidSnake,262,0,0,1,11
23/03/26,DARE Snow2,263,0,0,0,4
23/03/26,TG Cozy,263,0,0,0,1
23/03/26,WIN Saint GRIMM,263,0,0,0,9
23/03/26,SN Pseudo,263,0,0,0,5
23/03/26,Mash,263,0,0,0,3
23/03/26,100X Mist,263,0,0,0,1
23/03/26,TG Links,263,0,0,0,2
23/03/26,C9 Winsome,263,0,0,0,3
23/03/26,GG Iconic,263,0,0,0,2
23/03/26,Min,263,0,0,0,1
23/03/26,3P MikeYeung,263,0,0,0,3
23/03/26,GTC SiddyWiddy,263,0,0,0,2
23/03/25,EG jojopyun,1,885,50,126,76
23/03/25,GG Olleh,2,800,40,114,69
23/03/25,EG Kaori,3,780,30,119,82
23/03/25,EG Srtty,4,740,30,109,70
23/03/25,C9 Zven,5,725,30,105,65
23/03/25,BOG RJS,6,650,20,130,130
23/03/25,TSM Mia,7,635,20,100,73
23/03/25,TL Armao,8,630,20,98,70
23/03/25,FLY Kumo,9,625,20,115,107
23/03/25,CLG Dhokla,10,605,20,91,61
23/03/25,EG Tomio,11,590,10,105,92
23/03/25,DIG River,12,565,10,73,34
23/03/25,GG Tony Top,13,535,10,99,91
23/03/25,TL Yeon,14,490,10,72,46
23/03/25,ISG ADD,15,480,10,62,28
23/03/25,FLY Tomo,16,475,10,72,49
23/03/25,SN Ariendel,17,455,10,82,73
23/03/25,IMT Lost,18,450,10,63,36
23/03/25,IMT Kenvi,19,440,10,65,42
23/03/25,FLY Josedeodo,20,440,10,78,68
23/03/25,TL Hans sama,21,435,10,64,41
23/03/25,CLG Breezy,22,435,10,80,73
23/03/25,Lourlo,23,415,10,93,103
23/03/25,TSM Takeover,24,405,10,79,80
23/03/25,IMT Arrow,25,395,10,63,47
23/03/25,AZE Dimitry,26,390,5,62,48
23/03/25,EG Smoothie,27,390,5,74,70
23/03/25,TL CoreJJ,28,385,5,59,41
23/03/25,FLY Johnsun,29,380,5,55,34
23/03/25,GG Ablazeolive,30,380,5,66,56
23/03/25,100 Busio,31,375,5,62,52
23/03/25,TL Eyla,32,355,5,55,39
23/03/25,EGP Yukino,33,355,5,61,51
23/03/25,FLY Diamond,34,340,5,72,76
23/03/25,100 Abbedagge,35,335,5,50,33
23/03/25,ISG Jelly,36,335,5,51,35
23/03/25,C9 Destiny,37,335,5,58,50
23/03/25,GG Licorice,38,330,5,49,32
23/03/25,100 Tenacity,39,330,5,55,47
23/03/25,C9 Darshan,40,320,5,63,65
23/03/25,C9 Malice,41,310,5,48,34
23/03/25,R7 Cepted,42,305,5,51,41
23/03/25,MU Niles,43,305,5,55,50
23/03/25,FLY Philip,44,305,5,63,67
23/03/25,TL Santorin,45,300,5,46,35
23/03/25,GG Pridestalkr,46,295,5,74,89
23/03/25,Stunt,47,290,5,56,56
23/03/25,100X Sword,48,290,5,57,61
23/03/25,IMA Winston,49,280,5,71,88
23/03/25,XTN Keine,50,270,5,48,44
23/03/25,DIG Neo,51,260,0,34,16
23/03/25,Gweiss,52,260,0,47,43
23/03/25,C9 Summit,53,255,0,36,23
23/03/25,CLG Jenkins,54,255,0,39,29
23/03/25,EG Impact,55,255,0,46,41
23/03/25,IMT PowerOfEvil,56,250,0,35,21
23/03/25,UCI duong pro,57,250,0,46,46
23/03/25,TSM Shenyi,58,245,0,47,45
23/03/25,TL Bjergsen,59,240,0,38,29
23/03/25,EST Bvoy,60,240,0,64,82
23/03/25,AK Leza,61,235,0,40,33
23/03/25,CLG Luger,62,235,0,49,52
23/03/25,R7 SoHwan,63,235,0,50,55
23/03/25,100 Closer,64,230,0,36,26
23/03/25,TL Bwipo,65,230,0,40,34
23/03/25,CLG Palafox,66,230,0,51,60
23/03/25,100 JimieN,67,225,0,40,36
23/03/25,AK Luci,68,220,0,50,58
23/03/25,EG Vulcan,69,215,0,33,24
23/03/25,FLY toucouille,70,210,0,45,49
23/03/25,FEAR Sketch,71,205,0,40,45
23/03/25,AZE Lonely,72,200,0,26,12
23/03/25,AK CaD,73,195,0,31,26
23/03/25,FLY Spirax,74,195,0,36,33
23/03/25,DIG Insanity,75,195,0,40,43
23/03/25,Svenskeren,76,190,0,30,22
23/03/25,JK ry0ma,77,190,0,31,24
23/03/25,C9 Isles,78,190,0,31,26
23/03/25,IMT Pretty,79,190,0,43,48
23/03/25,C9 Blaber,80,185,0,25,13
23/03/25,IMT Revenge,81,185,0,40,44
23/03/25,TSM V1per,82,180,0,32,28
23/03/25,GG Concept,83,180,0,42,49
23/03/25,100 huhi,84,180,0,42,50
23/03/25,TSM Instinct,85,175,0,50,65
23/03/25,IMT Xerxe,86,170,0,27,20
23/03/25,C9 Berserker,87,165,0,27,22
23/03/25,AK Hoglet,88,160,0,26,22
23/03/25,EG Inspired,89,160,0,29,26
23/03/25,C9 Jensen,90,160,0,32,36
23/03/25,R7 Oddie,91,155,0,25,20
23/03/25,TL Haeri,92,155,0,37,49
23/03/25,ISG Grell,93,150,0,36,42
23/03/25,CLG RoseThorn,94,145,0,22,15
23/03/25,GG Stixxay,95,140,0,21,19
23/03/25,FLY aphromoo,96,140,0,31,35
23/03/25,EST Lyg,97,140,0,45,66
23/03/25,DIG JayJ,98,135,0,21,15
23/03/25,100 FBI,99,135,0,27,28
23/03/25,WC Strompest,100,135,0,37,52
23/03/25,INF cody,101,130,0,27,29
23/03/25,IMT Joey,102,130,0,33,40
23/03/25,C9 Copy,103,125,0,15,5
23/03/25,IMT Dardoch,104,125,0,20,15
23/03/25,TSM Tactical,105,120,0,20,16
23/03/25,TL Bradley,106,120,0,37,51
23/03/25,IMT WildTurtle,107,115,0,22,21
23/03/25,CLG Contractz,108,110,0,13,4
23/03/25,NOT 5fire,109,110,0,17,12
23/03/25,C9 Wixxi,110,110,0,21,22
23/03/25,GG Array,111,105,0,31,42
23/03/25,Keith,112,105,0,30,42
23/03/25,300 Minui,113,100,0,16,14
23/03/25,3P Messages,114,95,0,14,11
23/03/25,XTN Bardito,115,95,0,20,23
23/03/25,GET Fix,116,95,0,38,59
23/03/25,IMT Chad,117,90,0,18,18
23/03/25,INF Ackerman,118,90,0,18,20
23/03/25,GG Chime,119,85,0,16,15
23/03/25,TA Nightstar,120,85,0,24,35
23/03/25,NOT Gryffinn,121,85,0,24,37
23/03/25,TSM Hyper,122,80,0,11,7
23/03/25,CLG Prismal,123,80,0,21,26
23/03/25,FLY Yuuji,124,80,0,28,40
23/03/25,XTN Archer,125,80,0,29,46
23/03/25,UCI Kim Down,126,75,0,11,8
23/03/25,100 Ssumday,127,75,0,23,33
23/03/25,FEAR Trixter,128,70,0,10,7
23/03/25,300 Raheen,129,70,0,11,8
23/03/25,TA Chookies,130,70,0,12,11
23/03/25,TSM Keaiduo,131,65,0,7,3
23/03/25,C9 Qit0ng,132,65,0,19,28
23/03/25,DARE Enigma,133,60,0,9,7
23/03/25,SN Saico,134,60,0,15,20
23/03/25,R7 Slow,135,60,0,18,25
23/03/25,WC Crazy Goose,136,60,0,28,44
23/03/25,EG Soligo,137,60,0,25,40
23/03/25,TA Dec0y,138,60,0,20,33
23/03/25,TSM Spica,139,55,0,8,5
23/03/25,CLG Solo,139,55,0,8,5
23/03/25,EG Danny,141,55,0,9,7
23/03/25,C9 k1ng,142,55,0,10,10
23/03/25,DIG Spawn,143,55,0,9,12
23/03/25,CLG Poome,144,55,0,23,35
23/03/25,AK Pancake,145,55,0,16,25
23/03/25,Pobelter,146,55,0,29,50
23/03/25,XTN Horus,147,50,0,8,6
23/03/25,BOG B3nji,148,50,0,9,8
23/03/25,AZE 5kid,149,50,0,12,14
23/03/25,BOG Inori,150,50,0,7,10
23/03/25,100X Keel,151,50,0,26,43
23/03/25,GET Warangelus,152,50,0,37,64
23/03/25,AGT Duoking1,153,45,0,6,3
23/03/25,JK Scoooped,153,45,0,6,3
23/03/25,WIN FrostForest,155,45,0,7,6
23/03/25,UCI Cinna,156,45,0,8,7
23/03/25,MU Shady,157,45,0,8,8
23/03/25,DIG FakeGod,158,45,0,10,11
23/03/25,XTN camilo,159,45,0,12,15
23/03/25,DIG eXyu,160,45,0,12,16
23/03/25,WU Kenji,161,45,0,16,25
23/03/25,Doublelift,162,45,0,19,30
23/03/25,WC Jeremy,163,45,0,17,28
23/03/25,Creamcheese,164,45,0,55,105
23/03/25,3P Dinka,165,40,0,4,0
23/03/25,TSM Huni,166,40,0,5,3
23/03/25,DIG Blue,167,40,0,7,6
23/03/25,DIG Gamsu,168,40,0,8,12
23/03/25,INF Kz,169,40,0,15,24
23/03/25,TSM Yursan,169,40,0,10,16
23/03/25,100X DARKWINGS,171,40,0,11,18
23/03/25,BAY Seranok,172,40,0,19,35
23/03/25,AOE Zamudo,173,40,0,8,16
23/03/25,WC Toasty,174,35,0,4,1
23/03/25,WC 0 n a t,175,35,0,4,3
23/03/25,100X Sniper,176,35,0,5,4
23/03/25,CLG Triple,177,35,0,7,8
23/03/25,GTC Vakin,178,35,0,8,10
23/03/25,UCI Misterdot,179,35,0,5,7
23/03/25,MU APA,180,35,0,8,12
23/03/25,EST Acce,181,35,0,39,76
23/03/25,R7 Daiky,182,35,0,9,18
23/03/25,TL Rhino,183,30,0,4,2
23/03/25,GG Violet,184,30,0,4,3
23/03/25,EG donbray,185,30,0,6,6
23/03/25,IMA shochi,185,30,0,6,6
23/03/25,RAD Lightpulse,187,30,0,11,19
23/03/25,AK Skeeto,188,30,0,13,23
23/03/25,100 BMFX,189,25,0,3,1
23/03/25,NOT Dragoon,190,25,0,4,3
23/03/25,GG Akaadian,191,25,0,5,6
23/03/25,NOT Jishuka,192,25,0,7,9
23/03/25,SN im baekho,193,25,0,8,11
23/03/25,UCI dtro18,194,25,0,13,22
23/03/25,C9 Trevor,195,25,0,8,14
23/03/25,WC Griffin,196,25,0,17,33
23/03/25,XTN Zerito,197,25,0,10,29
23/03/25,Qit0ng,198,20,0,2,0
23/03/25,EGP Faisal,199,20,0,3,2
23/03/25,TG Qwacker,200,20,0,2,2
23/03/25,BAY Bejjaniii,201,20,0,5,6
23/03/25,MUS Getback,202,20,0,4,6
23/03/25,INF Jauny,202,20,0,6,9
23/03/25,UCI sahori,204,20,0,3,5
23/03/25,BAY Dragonmin,205,20,0,5,9
23/03/25,DARE Censored,206,20,0,3,6
23/03/25,UCI Berik,207,15,0,2,1
23/03/25,Sneaky,208,15,0,2,2
23/03/25,DIG Eclipse,209,15,0,3,4
23/03/25,SN Firetheft,210,15,0,2,3
23/03/25,ISG FIare,210,15,0,2,3
23/03/25,Goldenglue,212,15,0,5,8
23/03/25,ISG seiya,213,15,0,3,5
23/03/25,NR Pynt,213,15,0,3,5
23/03/25,AZE Aloned,215,15,0,11,19
23/03/25,300 Perry,216,15,0,5,10
23/03/25,IMA animegirl,216,15,0,3,6
23/03/25,AK Zothve,218,15,0,27,59
23/03/25,CLG Meech,219,15,0,2,7
23/03/25,EGP Doxa,220,10,0,1,0
23/03/25,C9 Fudge,220,10,0,1,0
23/03/25,WC Rhino,220,10,0,1,0
23/03/25,AnDa,220,10,0,1,0
23/03/25,ISG Gavotto,224,10,0,2,2
23/03/25,RAD Bluster,224,10,0,1,1
23/03/25,BOG dshao,224,10,0,2,2
23/03/25,YU Wally,224,10,0,1,1
23/03/25,R7 Ceo,228,10,0,3,4
23/03/25,GET Plugo,229,10,0,2,3
23/03/25,3P Munchy,229,10,0,2,3
23/03/25,ISU DrewDozer,231,10,0,1,2
23/03/25,WC Onat,232,10,0,2,5
23/03/25,BOG Tuesday,233,10,0,1,3
23/03/25,CIyde,234,10,0,7,22
23/03/25,RAD Crimson,235,5,0,1,1
23/03/25,3P Lunar2,235,5,0,1,1
23/03/25,WIN Avano,237,5,0,3,7
23/03/25,EG SkyTec,238,5,0,15,37
23/03/25,DARE Blossoms,239,5,0,4,10
23/03/25,MUS Kind,240,0,0,3,6
23/03/25,BAY SophistSage,240,0,0,1,2
23/03/25,AZE Straight,240,0,0,4,8
23/03/25,WIN Vex,243,0,0,8,17
23/03/25,ISG Follow,244,0,0,3,7
23/03/25,MU Azog,245,0,0,9,22
23/03/25,BAY Braine,246,0,0,2,5
23/03/25,ISU Tempos,246,0,0,2,5
23/03/25,WIN Mordio,248,0,0,5,14
23/03/25,NOT Blazze,249,0,0,1,3
23/03/25,TFTS Leemo,249,0,0,3,9
23/03/25,DIG Biofrost,249,0,0,2,6
23/03/25,INF Brayaron,249,0,0,4,12
23/03/25,EGP LEO99,253,0,0,1,4
23/03/25,XTN Tyr,253,0,0,2,8
23/03/25,MU Aizo,253,0,0,1,4
23/03/25,ISU Yen,256,0,0,2,9
23/03/25,AOER Nemesis9,257,0,0,2,10
23/03/25,MU Odd Orange,258,0,0,2,12
23/03/25,EGP Daption,258,0,0,1,6
23/03/25,WC Rapid,260,0,0,1,8
23/03/25,GET Fs,261,0,0,1,9
23/03/25,INF SolidSnake,262,0,0,1,11
23/03/25,DARE Snow2,263,0,0,0,4
23/03/25,TG Cozy,263,0,0,0,1
23/03/25,WIN Saint GRIMM,263,0,0,0,9
23/03/25,SN Pseudo,263,0,0,0,5
23/03/25,Mash,263,0,0,0,3
23/03/25,100X Mist,263,0,0,0,1
23/03/25,TG Links,263,0,0,0,2
23/03/25,C9 Winsome,263,0,0,0,3
23/03/25,GG Iconic,263,0,0,0,2
23/03/25,Min,263,0,0,0,1
23/03/25,3P MikeYeung,263,0,0,0,3
23/03/25,GTC SiddyWiddy,263,0,0,0,2
23/03/24,EG jojopyun,1,885,50,126,76
23/03/24,GG Olleh,2,800,40,114,69
23/03/24,EG Kaori,3,780,30,119,82
23/03/24,EG Srtty,4,740,30,109,70
23/03/24,C9 Zven,5,725,30,105,65
23/03/24,BOG RJS,6,650,20,130,130
23/03/24,TSM Mia,7,635,20,100,73
23/03/24,TL Armao,8,630,20,98,70
23/03/24,FLY Kumo,9,625,20,115,107
23/03/24,CLG Dhokla,10,605,20,91,61
23/03/24,EG Tomio,11,590,10,105,92
23/03/24,DIG River,12,565,10,73,34
23/03/24,GG Tony Top,13,535,10,99,91
23/03/24,TL Yeon,14,490,10,72,46
23/03/24,ISG ADD,15,480,10,62,28
23/03/24,FLY Tomo,16,475,10,72,49
23/03/24,SN Ariendel,17,455,10,82,73
23/03/24,IMT Lost,18,450,10,63,36
23/03/24,IMT Kenvi,19,440,10,65,42
23/03/24,FLY Josedeodo,20,440,10,78,68
23/03/24,TL Hans sama,21,435,10,64,41
23/03/24,CLG Breezy,22,435,10,80,73
23/03/24,Lourlo,23,415,10,93,103
23/03/24,TSM Takeover,24,405,10,79,80
23/03/24,IMT Arrow,25,395,10,63,47
23/03/24,AZE Dimitry,26,390,5,62,48
23/03/24,EG Smoothie,27,390,5,74,70
23/03/24,TL CoreJJ,28,385,5,59,41
23/03/24,FLY Johnsun,29,380,5,55,34
23/03/24,GG Ablazeolive,30,380,5,66,56
23/03/24,100 Busio,31,375,5,62,52
23/03/24,TL Eyla,32,355,5,55,39
23/03/24,EGP Yukino,33,355,5,61,51
23/03/24,FLY Diamond,34,340,5,72,76
23/03/24,100 Abbedagge,35,335,5,50,33
23/03/24,ISG Jelly,36,335,5,51,35
23/03/24,C9 Destiny,37,335,5,58,50
23/03/24,GG Licorice,38,330,5,49,32
23/03/24,100 Tenacity,39,330,5,55,47
23/03/24,C9 Darshan,40,320,5,63,65
23/03/24,C9 Malice,41,310,5,48,34
23/03/24,R7 Cepted,42,305,5,51,41
23/03/24,MU Niles,43,305,5,55,50
23/03/24,FLY Philip,44,305,5,63,67
23/03/24,TL Santorin,45,300,5,46,35
23/03/24,GG Pridestalkr,46,295,5,74,89
23/03/24,Stunt,47,290,5,56,56
23/03/24,100X Sword,48,290,5,57,61
23/03/24,IMA Winston,49,280,5,71,88
23/03/24,XTN Keine,50,270,5,48,44
23/03/24,DIG Neo,51,260,0,34,16
23/03/24,Gweiss,52,260,0,47,43
23/03/24,C9 Summit,53,255,0,36,23
23/03/24,CLG Jenkins,54,255,0,39,29
23/03/24,EG Impact,55,255,0,46,41
23/03/24,IMT PowerOfEvil,56,250,0,35,21
23/03/24,UCI duong pro,57,250,0,46,46
23/03/24,TSM Shenyi,58,245,0,47,45
23/03/24,TL Bjergsen,59,240,0,38,29
23/03/24,EST Bvoy,60,240,0,64,82
23/03/24,AK Leza,61,235,0,40,33
23/03/24,CLG Luger,62,235,0,49,52
23/03/24,R7 SoHwan,63,235,0,50,55
23/03/24,100 Closer,64,230,0,36,26
23/03/24,TL Bwipo,65,230,0,40,34
23/03/24,CLG Palafox,66,230,0,51,60
23/03/24,100 JimieN,67,225,0,40,36
23/03/24,AK Luci,68,220,0,50,58
23/03/24,EG Vulcan,69,215,0,33,24
23/03/24,FLY toucouille,70,210,0,45,49
23/03/24,FEAR Sketch,71,205,0,40,45
23/03/24,AZE Lonely,72,200,0,26,12
23/03/24,AK CaD,73,195,0,31,26
23/03/24,FLY Spirax,74,195,0,36,33
23/03/24,DIG Insanity,75,195,0,40,43
23/03/24,Svenskeren,76,190,0,30,22
23/03/24,JK ry0ma,77,190,0,31,24
23/03/24,C9 Isles,78,190,0,31,26
23/03/24,IMT Pretty,79,190,0,43,48
23/03/24,C9 Blaber,80,185,0,25,13
23/03/24,IMT Revenge,81,185,0,40,44
23/03/24,TSM V1per,82,180,0,32,28
23/03/24,GG Concept,83,180,0,42,49
23/03/24,100 huhi,84,180,0,42,50
23/03/24,TSM Instinct,85,175,0,50,65
23/03/24,IMT Xerxe,86,170,0,27,20
23/03/24,C9 Berserker,87,165,0,27,22
23/03/24,AK Hoglet,88,160,0,26,22
23/03/24,EG Inspired,89,160,0,29,26
23/03/24,C9 Jensen,90,160,0,32,36
23/03/24,R7 Oddie,91,155,0,25,20
23/03/24,TL Haeri,92,155,0,37,49
23/03/24,ISG Grell,93,150,0,36,42
23/03/24,CLG RoseThorn,94,145,0,22,15
23/03/24,GG Stixxay,95,140,0,21,19
23/03/24,FLY aphromoo,96,140,0,31,35
23/03/24,EST Lyg,97,140,0,45,66
23/03/24,DIG JayJ,98,135,0,21,15
23/03/24,100 FBI,99,135,0,27,28
23/03/24,WC Strompest,100,135,0,37,52
23/03/24,INF cody,101,130,0,27,29
23/03/24,IMT Joey,102,130,0,33,40
23/03/24,C9 Copy,103,125,0,15,5
23/03/24,IMT Dardoch,104,125,0,20,15
23/03/24,TSM Tactical,105,120,0,20,16
23/03/24,TL Bradley,106,120,0,37,51
23/03/24,IMT WildTurtle,107,115,0,22,21
23/03/24,CLG Contractz,108,110,0,13,4
23/03/24,NOT 5fire,109,110,0,17,12
23/03/24,C9 Wixxi,110,110,0,21,22
23/03/24,GG Array,111,105,0,31,42
23/03/24,Keith,112,105,0,30,42
23/03/24,300 Minui,113,100,0,16,14
23/03/24,3P Messages,114,95,0,14,11
23/03/24,XTN Bardito,115,95,0,20,23
23/03/24,GET Fix,116,95,0,38,59
23/03/24,IMT Chad,117,90,0,18,18
23/03/24,INF Ackerman,118,90,0,18,20
23/03/24,GG Chime,119,85,0,16,15
23/03/24,TA Nightstar,120,85,0,24,35
23/03/24,NOT Gryffinn,121,85,0,24,37
23/03/24,TSM Hyper,122,80,0,11,7
23/03/24,CLG Prismal,123,80,0,21,26
23/03/24,FLY Yuuji,124,80,0,28,40
23/03/24,XTN Archer,125,80,0,29,46
23/03/24,UCI Kim Down,126,75,0,11,8
23/03/24,100 Ssumday,127,75,0,23,33
23/03/24,FEAR Trixter,128,70,0,10,7
23/03/24,300 Raheen,129,70,0,11,8
23/03/24,TA Chookies,130,70,0,12,11
23/03/24,TSM Keaiduo,131,65,0,7,3
23/03/24,C9 Qit0ng,132,65,0,19,28
23/03/24,DARE Enigma,133,60,0,9,7
23/03/24,SN Saico,134,60,0,15,20
23/03/24,R7 Slow,135,60,0,18,25
23/03/24,WC Crazy Goose,136,60,0,28,44
23/03/24,EG Soligo,137,60,0,25,40
23/03/24,TA Dec0y,138,60,0,20,33
23/03/24,TSM Spica,139,55,0,8,5
23/03/24,CLG Solo,139,55,0,8,5
23/03/24,EG Danny,141,55,0,9,7
23/03/24,C9 k1ng,142,55,0,10,10
23/03/24,DIG Spawn,143,55,0,9,12
23/03/24,CLG Poome,144,55,0,23,35
23/03/24,AK Pancake,145,55,0,16,25
23/03/24,Pobelter,146,55,0,29,50
23/03/24,XTN Horus,147,50,0,8,6
23/03/24,BOG B3nji,148,50,0,9,8
23/03/24,AZE 5kid,149,50,0,12,14
23/03/24,BOG Inori,150,50,0,7,10
23/03/24,100X Keel,151,50,0,26,43
23/03/24,GET Warangelus,152,50,0,37,64
23/03/24,AGT Duoking1,153,45,0,6,3
23/03/24,JK Scoooped,153,45,0,6,3
23/03/24,WIN FrostForest,155,45,0,7,6
23/03/24,UCI Cinna,156,45,0,8,7
23/03/24,MU Shady,157,45,0,8,8
23/03/24,DIG FakeGod,158,45,0,10,11
23/03/24,XTN camilo,159,45,0,12,15
23/03/24,DIG eXyu,160,45,0,12,16
23/03/24,WU Kenji,161,45,0,16,25
23/03/24,Doublelift,162,45,0,19,30
23/03/24,WC Jeremy,163,45,0,17,28
23/03/24,Creamcheese,164,45,0,55,105
23/03/24,3P Dinka,165,40,0,4,0
23/03/24,TSM Huni,166,40,0,5,3
23/03/24,DIG Blue,167,40,0,7,6
23/03/24,DIG Gamsu,168,40,0,8,12
23/03/24,INF Kz,169,40,0,15,24
23/03/24,TSM Yursan,169,40,0,10,16
23/03/24,100X DARKWINGS,171,40,0,11,18
