summoner_name,rank,lp,season_points,wins,losses
EG jojopyun,1,885,50,126,76
GG Olleh,2,800,40,114,69
EG Kaori,3,780,30,119,82
EG Srtty,4,740,30,109,70
C9 Zven,5,725,30,105,65
BOG RJS,6,650,20,130,130
EST Mia,7,635,20,100,73
TL Armao,8,630,20,98,70
FLY Kumo,9,625,20,115,107
CLG Dhokla,10,605,20,91,61
EG Tomio,11,590,10,105,92
DIG River,12,565,10,73,34
GG Tony Top,13,535,10,99,91
TL Yeon,14,490,10,72,46
ISG ADD,15,480,10,62,28
FLY Tomo,16,475,10,72,49
SN Ariendel,17,455,10,82,73
GG Lost,18,450,10,63,36
100 Kenvi,19,440,10,65,42
FLY Josedeodo,20,440,10,78,68
TL Hans sama,21,435,10,64,41
CLG Breezy,22,435,10,80,73
Lourlo,23,415,10,93,103
TSM Takeover,24,405,10,79,80
IMT Arrow,25,395,10,63,47
AZE Dimitry,26,390,5,62,48
Smoothie,27,390,5,74,70
TL CoreJJ,28,385,5,59,41
FLY Johnsun,29,380,5,55,34
GG Ablazeolive,30,380,5,66,56
100 Busio,31,375,5,62,52
TL Eyla,32,355,5,55,39
NOT Yukino,33,355,5,61,51
FLY Diamond,34,340,5,72,76
100 Abbedagge,35,335,5,50,33
ISG Jelly,36,335,5,51,35
IMT Destiny,37,335,5,58,50
GG Licorice,38,330,5,49,32
100 Tenacity,39,330,5,55,47
C9 Darshan,40,320,5,63,65
C9 Malice,41,310,5,48,34
R7 Cepted,42,305,5,51,41
MU Niles,43,305,5,55,50
FLY Philip,44,305,5,63,67
TL Santorin,45,300,5,46,35
GG Pridestalkr,46,295,5,74,89
Stunt,47,290,5,56,56
100X Sword,48,290,5,57,61
IMA Winston,49,280,5,71,88
XTN Keine,50,270,5,48,44
DIG Neo,51,260,0,34,16
Gweiss,52,260,0,47,43
C9 Summit,53,255,0,36,23
CLG Jenkins,54,255,0,39,29
EG Impact,55,255,0,46,41
IMT PowerOfEvil,56,250,0,35,21
UCI duong pro,57,250,0,46,46
TSM Shenyi,58,245,0,47,45
TL Bjergsen,59,240,0,38,29
EST Bvoy,60,240,0,64,82
EST Leza,61,235,0,40,33
CLG Luger,62,235,0,49,52
R7 SoHwan,63,235,0,50,55
100 Closer,64,230,0,36,26
TL Bwipo,65,230,0,40,34
CLG Palafox,66,230,0,51,60
100 JimieN,67,225,0,40,36
AK Luci,68,220,0,50,58
EG Vulcan,69,215,0,33,24
FLY toucouille,70,210,0,45,49
EGP Sketch,71,205,0,40,45
AZE Lonely,72,200,0,26,12
AK CaD,73,195,0,31,26
FLY Spirax,74,195,0,36,33
100X Insanity,75,195,0,40,43
Svenskeren,76,190,0,30,22
GG ry0ma,77,190,0,31,24
C9 Isles,78,190,0,31,26
IMT Pretty,79,190,0,43,48
C9 Blaber,80,185,0,25,13
IMT Revenge,81,185,0,40,44
TSM V1per,82,180,0,32,28
IMT Concept,83,180,0,42,49
100 huhi,84,180,0,42,50
TSM Instinct,85,175,0,50,65
IMT Xerxe,86,170,0,27,20
C9 Berserker,87,165,0,27,22
AK Hoglet,88,160,0,26,22
EG Inspired,89,160,0,29,26
Jensen,90,160,0,32,36
R7 Oddie,91,155,0,25,20
TL Haeri,92,155,0,37,49
EST Grell,93,150,0,36,42
CLG RoseThorn,94,145,0,22,15
GG Stixxay,95,140,0,21,19
FLY aphromoo,96,140,0,31,35
EST Lyg,97,140,0,45,66
DIG JayJ,98,135,0,21,15
100 FBI,99,135,0,27,28
WC Strompest,100,135,0,37,52
INF cody,101,130,0,27,29
IMT Joey,102,130,0,33,40
C9 Copy,103,125,0,15,5
IMT Dardoch,104,125,0,20,15
TSM Tactical,105,120,0,20,16
TL Bradley,106,120,0,37,51
IMT WildTurtle,107,115,0,22,21
CLG Contractz,108,110,0,13,4
NOT 5fire,109,110,0,17,12
100 Wixxi,110,110,0,21,22
100X Array,111,105,0,31,42
Keith,112,105,0,30,42
WC Minui,113,100,0,16,14
3P Messages,114,95,0,14,11
GET Bardito,115,95,0,20,23
GET Fix,116,95,0,38,59
IMT Chad,117,90,0,18,18
INF Ackerman,118,90,0,18,20
GG Chime,119,85,0,16,15
TA Nightstar,120,85,0,24,35
NOT Gryffinn,121,85,0,24,37
TSM Hyper,122,80,0,11,7
CLG Prismal,123,80,0,21,26
FLY Yuuji,124,80,0,28,40
R7 Warangelus,125,80,0,35,54
XTN Archer,126,80,0,29,46
UCI Kim Down,127,75,0,11,8
100 Ssumday,128,75,0,23,33
TG Trixter,129,70,0,10,7
RAD Raheen,130,70,0,11,8
TA Chookies,131,70,0,12,11
TSM Keaiduo,132,65,0,7,3
C9 Qit0ng,133,65,0,19,28
DARE Enigma,134,60,0,9,7
SN Saico,135,60,0,15,20
R7 Slow,136,60,0,18,25
WC Crazy Goose,137,60,0,28,44
EG Soligo,138,60,0,25,40
TA Dec0y,139,60,0,20,33
TSM Spica,140,55,0,8,5
Solo,140,55,0,8,5
EG Danny,142,55,0,9,7
C9 k1ng,143,55,0,10,10
DIG Spawn,144,55,0,9,12
CLG Poome,145,55,0,23,35
AK Pancake,146,55,0,16,25
Pobelter,147,55,0,29,50
